ACS Code,Area of Operations,Task,Type,Description
PA.I.D.R1,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,Pilot.
PA.I.D.R2,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,Aircraft.
PA.I.D.R3,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,"Environment (e.g., weather, airports, airspace, terrain, obstacles)."
PA.I.D.R4,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,External pressures.
PA.I.D.R5,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,Limitations of air traffic control (ATC) services.
PA.I.D.R6,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,Fuel planning.
PA.I.D.R7,I. Preflight Preparation,Task D. Cross-Country Flight Planning,Risk Management,"Use of an electronic flight bag (EFB), if used."
PA.I.E.K1,I. Preflight Preparation,Task E. National Airspace System,Knowledge,Airspace classes and associated requirements and limitations.
PA.I.E.K2,I. Preflight Preparation,Task E. National Airspace System,Knowledge,Chart symbols.
PA.I.E.K3,I. Preflight Preparation,Task E. National Airspace System,Knowledge,"Special use airspace (SUA), special flight rules areas (SFRA), temporary flight restrictions (TFR), and other airspace areas."
PA.I.E.K4,I. Preflight Preparation,Task E. National Airspace System,Knowledge,Special visual flight rules (VFR) requirements.
PA.I.E.R1,I. Preflight Preparation,Task E. National Airspace System,Risk Management,Various classes and types of airspace.
PA.I.F.K1,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,"Elements related to performance and limitations by explaining the use of charts, tables, and data to determine performance."
PA.I.F.K2,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,"Factors affecting performance, including:"
PA.I.F.K2a,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,a. Atmospheric conditions
PA.I.F.K2b,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,b. Pilot technique
PA.I.F.K2c,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,c. Airplane configuration
PA.I.F.K2d,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,d. Airport environment
PA.I.F.K2e,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,"e. Loading [e.g., center of gravity (CG)]"
PA.I.F.K2f,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,f. Weight and balance
PA.I.F.K3,I. Preflight Preparation,Task F. Performance and Limitations,Knowledge,Aerodynamics.
PA.I.F.R1,I. Preflight Preparation,Task F. Performance and Limitations,Risk Management,"Use of performance charts, tables, and data."
PA.I.F.R2,I. Preflight Preparation,Task F. Performance and Limitations,Risk Management,Airplane limitations.
PA.I.F.R3,I. Preflight Preparation,Task F. Performance and Limitations,Risk Management,Possible differences between calculated performance and actual performance.
PA.I.G.K1,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,"Airplane systems, including:"
PA.I.G.K1a,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,a. Primary flight controls
PA.I.G.K1b,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,b. Secondary flight controls
PA.I.G.K1c,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,c. Powerplant and propeller
PA.I.G.K1d,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,d. Landing gear
PA.I.G.K1e,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,"e. Fuel, oil, and hydraulic"
PA.I.G.K1f,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,f. Electrical
PA.I.G.K1g,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,g. Avionics
PA.I.G.K1h,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,"h. Pitot-static, vacuum/pressure, and associated flight instruments"
PA.I.G.K1i,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,i. Environmental
PA.I.G.K1j,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,j. Deicing and anti-icing
PA.I.G.K1k,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,"k. Water rudders (ASES, AMES)"
PA.I.G.K1l,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,l. Oxygen system
PA.I.G.K2,I. Preflight Preparation,Task G. Operation of Systems,Knowledge,Indications of and procedures for managing system abnormalities or failures.
PA.I.G.R1,I. Preflight Preparation,Task G. Operation of Systems,Risk Management,Detection of system malfunctions or failures.
PA.I.G.R2,I. Preflight Preparation,Task G. Operation of Systems,Risk Management,Management of a system failure.
PA.I.G.R3,I. Preflight Preparation,Task G. Operation of Systems,Risk Management,Monitoring and management of automated systems.
PA.I.H.K1,I. Preflight Preparation,Task H. Human Factors,Knowledge,"Symptoms, recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues, including:"
PA.I.H.K1a,I. Preflight Preparation,Task H. Human Factors,Knowledge,a. Hypoxia
PA.I.H.K1b,I. Preflight Preparation,Task H. Human Factors,Knowledge,b. Hyperventilation
PA.I.H.K1c,I. Preflight Preparation,Task H. Human Factors,Knowledge,c. Middle ear and sinus problems
PA.I.H.K1d,I. Preflight Preparation,Task H. Human Factors,Knowledge,d. Spatial disorientation
PA.I.H.K1e,I. Preflight Preparation,Task H. Human Factors,Knowledge,e. Motion sickness
PA.I.H.K1f,I. Preflight Preparation,Task H. Human Factors,Knowledge,f. Carbon monoxide poisoning
PA.I.H.K1g,I. Preflight Preparation,Task H. Human Factors,Knowledge,g. Stress
PA.I.H.K1h,I. Preflight Preparation,Task H. Human Factors,Knowledge,h. Fatigue
PA.I.H.K1i,I. Preflight Preparation,Task H. Human Factors,Knowledge,i. Dehydration and nutrition
PA.I.H.K1j,I. Preflight Preparation,Task H. Human Factors,Knowledge,j. Hypothermia
PA.I.H.K1k,I. Preflight Preparation,Task H. Human Factors,Knowledge,k. Optical illusions
PA.I.H.K1l,I. Preflight Preparation,Task H. Human Factors,Knowledge,l. Dissolved nitrogen in the bloodstream after scuba dives
PA.I.H.K2,I. Preflight Preparation,Task H. Human Factors,Knowledge,Regulations regarding use of alcohol and drugs.
PA.I.H.K3,I. Preflight Preparation,Task H. Human Factors,Knowledge,"Effects of alcohol, drugs, and over-the-counter medications."
PA.I.H.K4,I. Preflight Preparation,Task H. Human Factors,Knowledge,"Aeronautical Decision-Making (ADM) to include using Crew Resource Management (CRM) or Single- Pilot Resource Management (SRM), as appropriate."
PA.I.H.R1,I. Preflight Preparation,Task H. Human Factors,Risk Management,Aeromedical and physiological issues.
PA.I.H.R2,I. Preflight Preparation,Task H. Human Factors,Risk Management,Hazardous attitudes.
PA.I.H.R3,I. Preflight Preparation,Task H. Human Factors,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.I.H.R4,I. Preflight Preparation,Task H. Human Factors,Risk Management,Confirmation and expectation bias.
PA.II.A.K1,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,Pilot self-assessment.
PA.II.A.K2,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,Determining that the airplane to be used is appropriate and airworthy.
PA.II.A.K3,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,"Airplane preflight inspection, including:"
PA.II.A.K3a,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,a. Which tasks should be inspected
PA.II.A.K3b,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,b. The reasons for checking each item
PA.II.A.K3c,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,c. How to detect possible defects
PA.II.A.K3d,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,d. The associated regulations
PA.II.A.K4,II. Preflight Procedures,Task A. Preflight Assessment,Knowledge,"Environmental factors, including weather, terrain, route selection, and obstructions."
PA.II.A.R1,II. Preflight Procedures,Task A. Preflight Assessment,Risk Management,Pilot.
PA.II.A.R2,II. Preflight Procedures,Task A. Preflight Assessment,Risk Management,Aircraft.
PA.II.A.R3,II. Preflight Procedures,Task A. Preflight Assessment,Risk Management,"Environment (e.g., weather, airports, airspace, terrain, obstacles)."
PA.II.A.R4,II. Preflight Procedures,Task A. Preflight Assessment,Risk Management,External pressures.
PA.II.A.R5,II. Preflight Procedures,Task A. Preflight Assessment,Risk Management,Aviation security concerns.
PA.II.B.K1,II. Preflight Procedures,Task B. Flight Deck Management,Knowledge,"Passenger briefing requirements, including operation and required use of safety restraint systems."
PA.II.B.K2,II. Preflight Procedures,Task B. Flight Deck Management,Knowledge,Use of appropriate checklists.
PA.II.B.K3,II. Preflight Procedures,Task B. Flight Deck Management,Knowledge,Requirements for current and appropriate navigation data.
PA.II.B.K4,II. Preflight Procedures,Task B. Flight Deck Management,Knowledge,Securing tasks and cargo.
PA.II.B.R1,II. Preflight Procedures,Task B. Flight Deck Management,Risk Management,"Use of systems or equipment, including automation and portable electronic devices."
PA.II.B.R2,II. Preflight Procedures,Task B. Flight Deck Management,Risk Management,Inoperative equipment.
PA.II.B.R3,II. Preflight Procedures,Task B. Flight Deck Management,Risk Management,Passenger distractions.
PA.II.C.K1,II. Preflight Procedures,Task C. Engine Starting,Knowledge,Starting under various conditions.
PA.II.C.K2,II. Preflight Procedures,Task C. Engine Starting,Knowledge,Starting the engine(s) by use of external power.
PA.II.C.K3,II. Preflight Procedures,Task C. Engine Starting,Knowledge,Limitations associated with starting.
PA.II.C.K4,II. Preflight Procedures,Task C. Engine Starting,Knowledge,Conditions leading to and procedures for an aborted start.
PA.II.C.R1,II. Preflight Procedures,Task C. Engine Starting,Risk Management,Propeller safety.
PA.II.D.K1,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,"Current airport aeronautical references and information resources such as the Chart Supplement, airport diagram, and Notices to Air Missions (NOTAMs)."
PA.II.D.K2,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,Taxi instructions/clearances.
PA.II.D.K3,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,"Airport markings, signs, and lights."
PA.II.D.K4,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,Visual indicators for wind.
PA.II.D.K5,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,"Aircraft lighting, as appropriate."
PA.II.D.K6,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,Procedures for:
PA.II.D.K6a,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,"a. Appropriate flight deck activities prior to taxi, including route planning and identifying the location of Hot Spots"
PA.II.D.K6b,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,b. Radio communications at towered and nontowered airports
PA.II.D.K6c,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,c. Entering or crossing runways
PA.II.D.K6d,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,d. Night taxi operations
PA.II.D.K6e,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Knowledge,e. Low visibility taxi operations
PA.II.D.R1,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Risk Management,Activities and distractions.
PA.II.D.R2,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Risk Management,Confirmation or expectation bias as related to taxi instructions.
PA.II.D.R3,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Risk Management,A taxi route or departure runway change.
PA.II.D.R4,II. Preflight Procedures,"Task D. Taxiing (ASEL, AMEL)",Risk Management,Runway incursion.
PA.II.F.K1,II. Preflight Procedures,Task F. Before Takeoff Check,Knowledge,"Purpose of before takeoff checklist tasks, including:"
PA.II.F.K1a,II. Preflight Procedures,Task F. Before Takeoff Check,Knowledge,a. Reasons for checking each item
PA.II.F.K1b,II. Preflight Procedures,Task F. Before Takeoff Check,Knowledge,b. Detecting malfunctions
PA.II.F.K1c,II. Preflight Procedures,Task F. Before Takeoff Check,Knowledge,c. Ensuring the aircraft is in safe operating condition as recommended by the manufacturer
PA.II.F.R1,II. Preflight Procedures,Task F. Before Takeoff Check,Risk Management,Division of attention while conducting before takeoff checks.
PA.II.F.R2,II. Preflight Procedures,Task F. Before Takeoff Check,Risk Management,Unexpected runway changes by air traffic control (ATC).
PA.II.F.R3,II. Preflight Procedures,Task F. Before Takeoff Check,Risk Management,Wake turbulence.
PA.II.F.R4,II. Preflight Procedures,Task F. Before Takeoff Check,Risk Management,"Potential powerplant failure during takeoff or other malfunction considering operational factors such as airplane characteristics, runway/takeoff path length, surface conditions, environmental conditions, and obstructions."
PA.III.A.K1,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,How to obtain appropriate radio frequencies.
PA.III.A.K2,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,Proper radio communication procedures and air traffic control (ATC) phraseology.
PA.III.A.K3,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,ATC light signal recognition.
PA.III.A.K4,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,Appropriate use of transponder(s).
PA.III.A.K5,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,Lost communication procedures.
PA.III.A.K6,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,Equipment issues that could cause loss of communication.
PA.III.A.K7,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,Radar assistance.
PA.III.A.K8,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,National Transportation Safety Board (NTSB) accident/incident reporting.
PA.III.A.K9,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Knowledge,Runway Status Lighting Systems.
PA.III.A.R1,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Risk Management,Communication.
PA.III.A.R2,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Risk Management,Deciding if and when to declare an emergency.
PA.III.A.R4,III. Airport and Seaplane Base Operations,"Task A. Communications, Light Signals, and Runway Lighting Systems",Risk Management,Use of non-standard phraseology.
PA.III.B.K1,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Knowledge,Towered and nontowered airport operations.
PA.III.B.K2,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Knowledge,Traffic pattern selection for the current conditions.
PA.III.B.K3,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Knowledge,Right-of-way rules.
PA.III.B.K4,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Knowledge,Use of automated weather and airport information.
PA.III.B.R1,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Risk Management,Collision hazards.
PA.III.B.R2,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.III.B.R3,III. Airport and Seaplane Base Operations,Task B. Traffic Patterns,Risk Management,Windshear and wake turbulence.
PA.IV.A.K1,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Knowledge,"Effects of atmospheric conditions, including wind, on takeoff and climb performance."
PA.IV.A.K2,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Knowledge,Best angle of climb speed (VX) and best rate of climb speed (VY).
PA.IV.A.K3,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Knowledge,Appropriate airplane configuration.
PA.IV.A.R1,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,"Selection of runway or takeoff path based on aircraft performance and limitations, available distance, and wind."
PA.IV.A.R2,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,Effects of:
PA.IV.A.R2a,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,a. Crosswind
PA.IV.A.R2b,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,b. Windshear
PA.IV.A.R2c,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,c. Tailwind
PA.IV.A.R2d,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,d. Wake turbulence
PA.IV.A.R2e,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,e. Takeoff surface/condition
PA.IV.A.R3,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,"Abnormal operations, including planning for:"
PA.IV.A.R3a,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,a. Rejected takeoff
PA.IV.A.R3b,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,b. Potential engine failure in takeoff/climb phase of flight
PA.IV.A.R4,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,Collision hazards.
PA.IV.A.R5,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.A.R6,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.A.R7,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Risk Management,Runway incursion.
PA.IV.A.S1,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Complete the appropriate checklist(s).
PA.IV.A.S11,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"Establish a pitch attitude to maintain the manufacturer'ss recommended speed or VY, +10/-5 knots."
PA.IV.A.S12,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Configure the airplane in accordance with manufacturer'ss guidance.
PA.IV.A.S13,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Maintain VY +10/-5 knots to a safe maneuvering altitude.
PA.IV.A.S14,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Maintain directional control and proper wind-drift correction throughout takeoff and climb.
PA.IV.A.S15,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"Comply with noise abatement procedures, as applicable."
PA.IV.A.S2,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Make radio calls as appropriate.
PA.IV.A.S3,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Verify assigned/correct runway or takeoff path.
PA.IV.A.S4,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,Determine wind direction with or without visible wind direction indicators.
PA.IV.A.S5,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"Position the flight controls for the existing wind, if applicable."
PA.IV.A.S6,"IV. Takeoffs, Landings, and Go-Arounds",Task A. Normal Takeoff and Climb,Skills,"Clear the area, taxi into takeoff position, and align the airplane on the runway centerline (ASEL, AMEL) or takeoff path (ASES, AMES)."
